,item,price,delivery fee,star rate,review count,url
0,"CJ 햇반, 210g, 36개입, 1개","35,900",무료배송,판매자 평점 별5개 중 4.5개,"리뷰 2,375건",https://www.11st.co.kr/products/4243449533?&lCtgrNo=1001341&mCtgrNo=1001477
1,"햇반 발아현미밥, 210g, 36개","39,200",무료배송,판매자 평점 별5개 중 4.5개,"리뷰 2,375건",https://www.11st.co.kr/products/4856001218?&lCtgrNo=1001341&mCtgrNo=1001477
2,오뚜기 컵밥 컵반 CJ 햇반 참치마요 해장국 제육 덮밥 육개장 비빔밥 국밥,"1,060","배송비 3,000원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 1,358건",https://action.adoffice.11st.co.kr/act/click/v1/landing/clickdata/compress?clickData=2oeVUnEN4pU29_X_sd-Vy9sOc42O-eY_6oJE3mSB-1_djrwwbPISMTAaH_SPxutW-yXm2bXYJG3mJDMK5AyINJqRtE77Tr4VlvNbiBTVsL6DKSfigCjGeuiQKEFRbhUxvvzMq9ifbadHOVRHcGnFDdyT1EZeXjYXpPJvHf54VZUR-G7fAwEeGTKWRGSNsCQybo_CCXbXP_OzPJof5-CPRWDqnsdtHNQG0ctAqCGc0aqypJdDleJGA1tYxN6y9rHu4C4XPKnv73etpyFpRsoVnzSl6ctidVLy2b4VJ9f15GJuBlKgZ348ON5J7WFXthSgyQwMwEIGQvQ2zFENLr63Jzj3oBroX50XieSrCxKwD76AVzY_M5s1wlS3IVm3NQRo8VJtRO_5Da9xOPSGmJQFMM8-t5WIfL0-5K3TM5dbLvXuU-TZdw0NqTiRCJw5tNdmVQ6FhzTJyJk1CA9kUp5zMdeRNwRlrL0jEH0J6n0cleXjuQJWPENrGBcoKXaliH5jH6ZAk2Cor48toNHdscRqptCuREXc4jyneSFnS-J55ACe_KTpbj1NRHqxhgLf6bZlz6SHP_a563MGcgU2GEFAG-cJZOzy3j705ZN9FH_HAaWQzwIt4CEmru-LGXKch5tPKjoRS7L2JcCQvDh1ioiQHtsCTem4DlTrrHu3K_779XY0zPBAyVxeDItpmzK7JJbY1b_h5yXo0r9N-777nE4mOKJRy92LehWogxF_sA0apWT0rAhhqb4xoTn2uYVl0IBVuzLyz9wUx5_qQDEmQtSednNgOG9duHyV6f4c9BsHhund0FYIrZSx1_vLajKIFNxqWItfBQBdrhWyGghryH4FVgqElwSWaKVsZ9WMG5PSXfdWB_qgXvr2iNVFpB1HYqeDkbDj7_Da5NZi2okG4iLbTiA_zlU_Pus3CCCWWlKfeK1vCeYh3e-9GSCiLffDzdM9q4io9ESognheZt_oh-NEfNC8Jfaes9hbNG_cQ6-JxBUXr3tIfl57j7y3erN58A5f&redirect=https%3A%2F%2Fwww.11st.co.kr%2Fproducts%2F2889558491%3F%26trTypeCd%3DPW24%26trCtgrNo%3D1001477%26lCtgrNo%3D1001341%26mCtgrNo%3D1001477
3,종근당건강 테이스틴 단백질볶음밥 다섯가지나물 200gx5개,"14,950","배송비 3,000원",,,https://action.adoffice.11st.co.kr/act/click/v1/landing/clickdata/compress?clickData=VTq-hI-f-w29gaH7wn6UfkIbPaWUz0b-y3eMcLDPlXBf2YjYY4Am0X9BRlIk6GydHI5r5bxlqYF9VqkPLXZqfrpIahbhDmxf85LVHmV9xObT_wedM5tFZ5Ja-XGQ3Jb_2pvr4AU_xmKwk8almnYMGSTqRdMt_HhRyTY4-Mu0EyNo3syc83HwUgT82MvktWWDViMuiTlgvOMiargljrV-4eoH0ze4-0XlESGmbjea9B7-SD4PjoVvwjcsvCkAVq8sWxMxjTehlLi2Xf2oTjRpa148Wh8UexgjwlQbis7Wn3XhPOEQ5ZagJIx1agki4rg_mCLlBM73F9AZ8tYqyL9-kabhRvnYgfmDjv3_iV3innmBbV5bz47adaEnII2_WfYF3dusPXpXBc6nLpgeyOrVDaYrT2HEIlEX5QPfGjH5rqwyt3_Nt0lrGZ8O2SGZEjWZSOh9qno4EgN6Xc2ocQk6J2w_xPHcW0M_QV3h0vfGHQR5kuwMmH7CVDPOF7VJ5S1GNYhJVNJwENJ-9q4eieEgxG_k7kOGMOIz5pRpPJnRWPO_MMwJDeCyesdX5r9pwaktL6bEkDE68rVyJVy26mLF465c-5Wqp97kSu1Z4ZCBp6acdCiX079UwIif4noNdEdR9zXdj-ZW3qNgu8Z-BxiC8ZTI-OEznaYoCxXhquNrwRgHxDjqbIwuj20ZOzPqPIsoRY_vrLCuxgq1T6XEQHwDcrIdukDujNkMcLYK5my-lX4hYDeFUAsHV0pwed-2i1zd1Ddhp8hIl0BJWGPh5Sa_0E8nl3JuqPA85Xdllcd3yarn69jCNcteLdfm8pipYPoAU-ihKT3KeaAzaebSZTpE7WRx8BwkSuxRD3oxxM6Q6ts7YsxPFsrcGfVyrf7RrYYVqaZnKHQuA_FtYmFXfcw_HN1wwZ_TA6nK-5n7iLZB18AWj8Q7eyMbfgrTIn2gIvIkNp9W0CMJvIaz4hTDN0mHP9CcwGAT2u_XCQwBWXmdXmA&redirect=https%3A%2F%2Fwww.11st.co.kr%2Fproducts%2F5500186004%3F%26trTypeCd%3DPW24%26trCtgrNo%3D1001477%26lCtgrNo%3D1001341%26mCtgrNo%3D1001477
4,초특가세일/cj햇반컵반/짜장덮밥/컵밥/40종/골라담기,"1,690","배송비 2,500원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 1,066건",https://action.adoffice.11st.co.kr/act/click/v1/landing/clickdata/compress?clickData=zya6qbB9H4Jcpy0E1p6mTaut10Rp-IN5js_UhnaV2KcxpHuUeR6eACkmmArYps99vrWvMTu0AbL0lyuymiy_lR5A3-zuGd3EsCOAZi-TZT6LUqi9OOIgeW-fsQ6G-R_WTxhBkRPeaGqF-eRIEfbrvWt_IKp0FaoU0NwzjFYXTCyWYsYgNLf30B6v0lhNSoECG7S-2DMXLuqpXXnqNK54zmJ_4q1mo-O8JJYyn5qA8oaCSEYhTfyaOhru-yXitrpXfFf4IuqlP4g21fkIe-mkcYK4f8bsx9Rhxah84OYdEvMtjco5GouEDQ5dkX9ofuBMfxLUP9psdsaoMwCh-N1mRY8S-0AO5WMJDTGM03A0x1IXBIufKolDrRL-rntl4ZKQFhewWPlAcDPf2Pi1oV3pbgUIlB55XMP7qeWI5De4dS7f__940urzCiJu0Pbd4Kk61dZkSrcSMOlfnC7stMUu6pohgM9w0T23UOD_gqd58tGCNwNsB-UYkTt8hlpSEYq8j2fbS2sUjhqLKE2nbf3JERYnXmh_kPd3CEXljtAECQJg-cLttOFIItBUyV8PiT1-FwESrSwmlYIkaejC_4EFjWaFwJVDnqaxOhJlxXn0BVw4c8O_2L1TscQ1jhbPj2TQFbyWwXrFhA58xeGz78KbLWeo_oKR9GQ5HNQCCPAGYyw5WcPGGaAnd2IE0IJfBbiFNlrelkhk-YJoaNiSA1ykdfOnst5sBRPTE2OYZjwi6O_bmr6PzCbqV1v6zw2eusYS1aOOhymWXWRxK3PurEWNksyjXCeLuqmRbGGqqnGtR9uwPYYBkiNTFuFE_2cKkpqc-Huw8kp8QRhJfmySxpnFaAE8JXrAH24DtYMKeKdD6PxRGnqth21i-zaKS5Y-BxCFmAAWxryhDXYeIBqE7Gra6Rp-sfy5wUtoQKimKSpaNUMXHsgUdFBHbyUSvDv-oBnC6pDNZXOQCWmoZ000ErQ7jQXKVUPHvAD-7186jRLI-r_7BWnaZSTW8v1vy6BL8Q-w&redirect=https%3A%2F%2Fwww.11st.co.kr%2Fproducts%2F2545084082%3F%26trTypeCd%3DPW24%26trCtgrNo%3D1001477%26lCtgrNo%3D1001341%26mCtgrNo%3D1001477
5,[교촌본사] 시그니처 볶음밥/닭가슴살/주먹밥/소시지 44종 골라담기,"2,200","배송비 3,000원",판매자 평점 별5개 중 4.5개,"리뷰 1,506건",https://action.adoffice.11st.co.kr/act/click/v1/landing/clickdata/compress?clickData=f-pjQ-aYBoYCOw33q4waHh5vNe7LaptPASaHg8_ZNV5LMK1iSavFnyCsMTrAE1XEzlvZpugybiKehnwLztfcnjHbef5PUen0zic3atVppEjkczAs0iSTJRSj96fetx_5lE8JPxX6sl1z4OH990T5QLUecnDd1jqDSJuN9Lf5QTQRCgQK1EHJ_y6M2_Q7Z53QNavuyI6FBdcLikqKbtSQYNa6AA9vtAblDOM6z-FQvYfZpIrU088FhMkpvyt8--GOanBWdirgiiWtF-b_aOkMIMVb1yxIZpU1rqlJLrVNniS5LPa5QTYNo7MIsnI0B2-kxdMYjheBPyicYdhJn8aVRibjR_SY2PaeDT2e9Kl6AHVcRLXE_zCADVRC7cb-FKIhleqerJAzgNrshtGX0SLPKggTC8DrxWWX1EXyztI8rMEw0O-p4CscBiG-xpkh6PEeUYYcxU4i0Te-iAgmo3FTnEqMWfqeNF0ZPqAYywhYXQXJJQawStlevNdjLOT1_tyTIF_rYqZziHbXyE5rzI2Y9e0U9pl_XFRgopOxqhoE7zMQvhzLhYT31xnQlDAs9KS8pclpgGI32gZf3hpqSUTMt8nFiCrqFJh_o8ta1kiZP3U7vNBQk5H7Wl3FjXxoOlOfFh9VzAyGb-c-r7NVWhJAezBMix3B2EF-rB4FtePOT9famoX9j_LmR0gi_v66YVERLyufd8bPng2Bm4TXjEyzMGLBsv7EogiyDUEwW7BtJOtO6ZNq9EH2qWlkZRoQDNbo3q_mjGuz9UI0SS9Na0XhXa93G-SBBlyz3yZBhmooL4MciaB__ZyJIJMgbFsocOykaTVyz4B6Q5jNs6swqKp2tUNMF5ofDo4KJGuxuCKEuWEhLFsJaJsoJKxt2j_dcyaC6mB40emHwVe6Ud23PlrCh3vEpyCZMSfJu_B_CfaMGML7dkR3aAvT2krJeoAlOLrlNdyz8FIGMlbso_qE8rqvBZis0lhbNCPd_PxFJ229GKg6d7E4IBuoZwMsaycnUpnF&redirect=https%3A%2F%2Fwww.11st.co.kr%2Fproducts%2F4840264608%3F%26trTypeCd%3DPW24%26trCtgrNo%3D1001477%26lCtgrNo%3D1001341%26mCtgrNo%3D1001477
6,상온 보존·레인지 가능고쿠부 그룹 본사 tabete 참치코로를 식탁에 상 돼지 모듬 조림 죽순 함유 140gx5개,"66,600",무료배송,,,https://action.adoffice.11st.co.kr/act/click/v1/landing/clickdata/compress?clickData=VTq-hI-f-w29gaH7wn6Ufhb-5uzIK5YZLVG5axTNWHWxP_w3EiLtB-o6m2SfGHFrlJnGVLeP9H9FZR2koTjUBGTEVle65jcaXXra3XBiYFNuajivstYe731nE061asQTZQBA0STgZsuN6zk7oJxb9EU7hBAtSEyaNMxGEfwW07UQBuvy7XlUPOHHSomoLxPqpL2JnW0loD7iPpkxk4uzekeljs_8JbzstZpfeFiKoc3fxrnzt9iN80CIXbsOBjBCEtKCNba-Bch7t6Ii94ia98TIMIdvboDlgynXoyXohnZuNKXATvCAkLpR1_sTVB7rcjOGnymHL8_oNBGZI0tw3-WHaIXGVuWDkpIEPHnYs0u2olT4zg5QOsSCO6S12msSobMJ8I27OV5O2sFZbn_Kuwv4Y18qo4xnz_VqKL1aC5a9lKGH-AOF6YBbFfOyOacHy_YpEmrDul6Sv8HV9A3_llOcU49fcTux05X7A0zbWc2t3R6AswukdgvxupxhVfRArbDpfe9d7Cjv7f3D7VMG0uI827c-4fikwmHGA-qx4kkghMYJJdKVVbwPpNc45aPCVPnDzlSFv95pVJksMRFPs1NObrZOmqYlL0QkOcv-Gv83rfJSj8VqJArkBnjLdOH1TzBzeAd6DSGD4NVDJfQcLKJoesZtzgX1r42Qfpk_3NU16YTv-ED7ExCEHUp50ZyevQ77WvD4k9RixO4qMYzT4FAqTlArIccJQk0vhx72JZlUEJTixkVACtn8rEfU8DSavQD3i-fuQ6YzNHMetwyXcoII-n_jeR_ZYURfWlXV_0Pkuwrw1wi0cqEbCYc7QTqe54prRkwMNZr_2OrAel5HAOqAM8T6D4Ov429YEfygGy9XphNXbCgYLY15bRVznvRAzDVfJkQSPfUpiIKG4WdkxYrav4qG_jedQeyQ9i8E0eIkd_I_iedYB1lYveLVXSzDN3WIKyjuQU3kTpb2uVeAPCVrPyT3DJhkjh-YkNgnnrGJXaFf8mSu9oTYkul51-XY&redirect=https%3A%2F%2Fwww.11st.co.kr%2Fproducts%2F5553089451%3F%26trTypeCd%3DPW24%26trCtgrNo%3D1001477%26lCtgrNo%3D1001341%26mCtgrNo%3D1001477
7,[누룽지열전]구수한 누룽지 1kg 5종 / 식사대용 영양간식,"8,900",무료배송,판매자 평점 별5개 중 4.0개,리뷰 135건,https://action.adoffice.11st.co.kr/act/click/v1/landing/clickdata/compress?clickData=zya6qbB9H4Jcpy0E1p6mTZMjxt4VR3qv1RAOlsgrrH-dbkwGxUxzpeWtMxTMqiH0UjTjlut40xwO8-7EJRgD-2jO_Y_dPNny84B0Pckp2KwNI8L045xJW3ZXoRDKG7T1mErcAPtVAFDUwSp8NSgEYrWv7wNgYMgFWrHEM30ZVVT3o8ROvfaIdolcR4VzRgJLRgl2fW0fvIEw6ryBllEJ07lpmZ5TiHznAEzcmdOLAwkMGethCK4sfgdKidIlOrTNiHEK4euxGgcgfzKBAkTudVs6rFmLpD-8TEXvhrY0s5MntVuiWCaIo42PdPq15ZpSvW-mqKquDIW-myGolZL1bRh_AHPZ06lRbz8KJB0-WzjscXH43kvCBtmBkBXU30zTphNJ9SqYqjUDrq673kFeFMueUUDW4tFtswy-dKzs-X9nhMELiWDuCNBcvl4IFCNhH6S9VX2ztxDXRChyxI19N1qVYQQnpCkmhBnARu8mPRL9-nnPIy1CicRCy_xZ5rw3K0nnR2iWqzGpqgzrhAh4CT6jWVtOSMPj8QUm2-nYyWQtOm8VqMFW7Wi0IlS_sSuRCqGq_Bguco6UMs_t7my4nW-Bk3AHFQCcAZuzCAgZM0NIIT2Q-Ebc72uECJbQ6z4gay0VqLIwXzWwFl6roXv9dtoB5OuPBZpGVFT0qroCdy7qEDZDjCegVR4EvRVNyAghwYnAaUxHswIgq9IS_0ZALBA4AJATL7ydL5dZgG4zNXDjloEm8eZpo3dIcO4h3liDuhw3FS7wtrGMZA1RacybNEx_hE4AS6Td-IjuJlOzYoeOoBfhIr21xnHbyIZC3EC_HCb7sNrk6vVX2bGAQEl_vRgunov-tO9rJJSslmv5Wh95duR6VDeqw359dsRw7p3MBMYtsWzRIMiXASg-cDS3MkZJFyslD3rkQpFBVpImKG3G5MU96MEY2V8hnvlhMwWkx6rHKifwPzbEc2WRyDtZi_wbxEE6Gk2Nfh6k1XWffqv4hFABwh99Q4EfBx8dRpac&redirect=https%3A%2F%2Fwww.11st.co.kr%2Fproducts%2F3124120626%3F%26trTypeCd%3DPW24%26trCtgrNo%3D1001477%26lCtgrNo%3D1001341%26mCtgrNo%3D1001477
8,에스비 식품 마을 중화에서 마자 돼지 장미 고기의 카레 중신 180gx6개,"49,600",무료배송,,,https://action.adoffice.11st.co.kr/act/click/v1/landing/clickdata/compress?clickData=VTq-hI-f-w29gaH7wn6UfiBB9mkMJbL7AYL3jPQxEhzgKmfBHINsuAXkQcHW8_JIAszsoh8eBjdqxRgFeJu97mdZYSp80OacjBRIf7knVb1jz8Yssww0-ntv4RrLeRZD2lyuscBLYDe3J-bBuAbz8y2b4CBg1W4XLetqECcdcHqbSKEOveO41J6VTzOPeCba742mipDKjR0y1DcJ06f3YycRWZ51wi8ks593dmQtGvA9qP0PxbQAdKLYbpQjE3J7RGiNG-ZZaxpVJYX_6vzjiy-GCLGzjn9ZQTmcHr3tVckx89rt5TiAPSNZuguCsfuTYJRA2cPSXCphDGT81lNecJSHEn4qmnjOGX5r8qiA3kdcJG9iCVfoaZV__3W-X5cM0VncYnP9eWStfrlwiIwqk4RSugH7XicMEtsZyAGMZYENUUjGJoKYKFsTcKC7riknKzuIWDq6vxX3wngXqnsGlw2RA16PM2Nda7n4WXgDwBfnrZOZYVhlhtXzI9Poa3wFZ4eneUh5sbRfew62lBorl6dqLQg7DDwVuFH0GDKyXFmzscQwFeWtpUKWYLQUHh16bb7YYU9azCFZGvCoqwkjOb_t9JY5gxylRLr66ZamAHphiYblYNOHuaSB_DYG9gkV5Q64QjnRNHMTfMkKqAQ3yTZrIz_NKVpiB8xMdQL7mDS1IkQdB1APhdl_Q3pjtIe2zLcD4_G6AJsckCHiEbasHmFL03NC4yecFlT0SHPq9om0pCZBYkWQJ7heM2W-X_Zm9DjDrGiVJOA3jZ0ooNEqx3kqXS6xZactGZydV9YixxhrQGeM6KUX8h-oQlEvaWBDBibSZte_rGuqS_45na1hbZbVxtqSTlAo-1I1_OkFrOZZCnlhcsqvEyKbNiXOoUeR3cE4pjLhVrmkJzd_CXUDfjZbztFUs4Kf9i36vRBBJ8KdEEpnxmM3SuYawHeqAQfD7tyM9CCTrO_Mz307hvG9kh7hi6MkAGAJqPMGmymN5qycZsvuhNOazpEjIqW205-t&redirect=https%3A%2F%2Fwww.11st.co.kr%2Fproducts%2F5573810550%3F%26trTypeCd%3DPW24%26trCtgrNo%3D1001477%26lCtgrNo%3D1001341%26mCtgrNo%3D1001477
9,CJ 햇반 210g 24개입/36개입/오뚜기/발아현미밥/흑미밥,"26,900",무료배송,판매자 평점 별5개 중 4.5개,"리뷰 9,296건",https://www.11st.co.kr/products/1895480906?&trTypeCd=20&trCtgrNo=1001477
