,item,price,discountRate,url
0,"적립
무료배송크리넥스 100% 천연펄프 생분해 종이물티슈 80매 10EA+6% 적립","15,900원","할인율
33%",https://m.smartstore.naver.com/main/products/6740069349
1,"1+@
무료배송에블린 레이스 프리컷 세트 브라4개+팬티4개","79,900원","할인율
59%",https://m.smartstore.naver.com/main/products/7421571929
2,"1+1
무료배송아침대용 달콤하고 쫀득한 꿀 백설기 개별포장 10개+10개","8,900원","할인율
70%",https://adcr.shopping.naver.com/adclk.nhn?x=xuu2PPXQQXcPGuDsIhkvcv%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxX%2F38UQVCT4dP8NnFC0WCzvt6yxuE90alRtFYpp%2BuYPqzM2CmU%2FJAmh2ByzkbR3Ae4XpYeG8am3dcLdd%2F2qMblctNG2%2BQUbS8APgN8iV3xJp0DZX40V%2BuJ%2FWk8GA08jSUd6oMkQHRczsJPP7Rz9mTKneEUdn2sMxyK2wYVGKWqe%2BxFlj3Uf3shQkf8YteDhrvLYppEy8zOZ5dQ3NSq%2B920WMHnypgMYOj%2BppYy8krfLQ1Dlx9iJXp9c2YGEd%2F9N8cya4pQfXIUt4tOQi5F2k4q%2BBqffiFCKOAXjF2ElnUhgitN%2Bs0wYwj8EaRsW4hXozGl0NRlBSAMwWR7vr4izXM%2FGtzSdnYpr8R9LYeDAr%2FztIKxla4kFhOGFNUhjaO9d39NGYizIOgGpQ3unZgr0EIItWDJ8CR8nZVuzH6WJ2TIivegANoMaquxWhExij3TF95A%3D%3D
3,"1+1
무료배송베베숲 시그니처 위드 블루 70매 캡 10팩+10팩","39,990원","할인율
18%",https://adcr.shopping.naver.com/adclk.nhn?x=qAE9YjeAFLfjLJZC2CwWa%2F%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxX%2F38UQVCT4dP8NnFC0WCzvt6yxuE90alRtFYpp%2BuYPqzM2CmU%2FJAmh2ByzkbR3Ae4XpYeG8am3dcLdd%2F2qMblctNG2%2BQUbS8APgN8iV3xJp0DZX40V%2BuJ%2FWk8GA08jSUd6oMkQHRczsJPP7Rz9mTKmDPB6YsOvbELhTy9k%2FATLVi6EGtl8AFmLK82OwNfRdcevRNh7v4T%2BURHMNTUkER5aMHnypgMYOj%2BppYy8krfLQ1Dlx9iJXp9c2YGEd%2F9N8cya4pQfXIUt4tOQi5F2k4q%2BBqffiFCKOAXjF2ElnUhgitN%2Bs0wYwj8EaRsW4hXozGl0NRlBSAMwWR7vr4izXM%2FFQcWGi1E5tTCHa%2BulbRbEdnFRlVqHKGqjOeljyRoEycQKzmKEl%2BaNAD6Z8GY1AN0tkhMW4bneho%2BqZBD9VuxPZmyJlduQSOOOKRoy8hl9t9w%3D%3D
4,"1+1
무료배송쿤달 대용량 샴푸 트리트먼트 바디워시 1개+1개","20,500원","할인율
50%",https://adcr.shopping.naver.com/adclk.nhn?x=rNLYr81ritYdGHtdKboEl%2F%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxX%2F38UQVCT4dP8NnFC0WCzvt6yxuE90alRtFYpp%2BuYPqzM2CmU%2FJAmh2ByzkbR3Ae4XpYeG8am3dcLdd%2F2qMblctNG2%2BQUbS8APgN8iV3xJp0DZX40V%2BuJ%2FWk8GA08jSUd6oMkQHRczsJPP7Rz9mTKldcX050QgilbppEgj%2FJKPenINLTdSjt%2Fm8kfQJhhJibB6pHk7y8e7bIT2ifUUtNdeMHnypgMYOj%2BppYy8krfLQ1Dlx9iJXp9c2YGEd%2F9N8cya4pQfXIUt4tOQi5F2k4q%2BBqffiFCKOAXjF2ElnUhgitN%2Bs0wYwj8EaRsW4hXozGsnmxJyYHJpwZ07ykBgQd7RU0VNf6EVPWTEGtzbJ3UieQNmW1tWoKVI7LNBK7kkyQEgRPcKjvaE3boLmby8EsBW%2FMmwiSprJwEswigK95HsLwEZgS3GNGPXZN%2Bz9HDM44A%3D%3D
5,"1+1
무료배송돌(Dole) 아이스 망고바 60g 15개+15개(총 30개)","13,900원","할인율
46%",https://adcr.shopping.naver.com/adclk.nhn?x=UvPuqJvlX14BavdsR%2BlbLf%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxX%2F38UQVCT4dP8NnFC0WCzvt6yxuE90alRtFYpp%2BuYPqzM2CmU%2FJAmh2ByzkbR3Ae4XpYeG8am3dcLdd%2F2qMblctNG2%2BQUbS8APgN8iV3xJp0DZX40V%2BuJ%2FWk8GA08jSUd6oMkQHRczsJPP7Rz9mTKnaFTZjHukxKuEgfxA2bcJuLgCXw3N6qvnr3E2c58uLWwnZuGPcYHZPiVrYjv1Lim6MHnypgMYOj%2BppYy8krfLQ1Dlx9iJXp9c2YGEd%2F9N8cya4pQfXIUt4tOQi5F2k4q%2BBqffiFCKOAXjF2ElnUhgitN%2Bs0wYwj8EaRsW4hXozGs1Bnq4JJtPntoSLMa1ZxDIIm9hoAdChMagA%2BQyA1Dwc71LSvvDQedaZHuOdbDkAV9fsksPxeUAOiM4qrmaxoNqxP1w5slhOmmjZQ1iE0Ih6lJYtFSGvZ7W%2BmqoG%2FZISrg%3D%3D
6,"1+1
무료배송올챌린지 뽑아쓰는 키친타올 100매 4개+4개(1개추가증정)","10,000원","할인율
60%",https://adcr.shopping.naver.com/adclk.nhn?x=WpKcsjvDPMo%2BYdBfBpzzg%2F%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxX%2F38UQVCT4dP8NnFC0WCzvt6yxuE90alRtFYpp%2BuYPqzM2CmU%2FJAmh2ByzkbR3Ae4XpYeG8am3dcLdd%2F2qMblctNG2%2BQUbS8APgN8iV3xJp0DZX40V%2BuJ%2FWk8GA08jSUd6oMkQHRczsJPP7Rz9mTKmhzPtln19YU4J19qlCPCp5iq2R0p3m8gv2EQKpkL0ph3cCxmSVPHij%2BMNOvxGDDGOMHnypgMYOj%2BppYy8krfLQ1Dlx9iJXp9c2YGEd%2F9N8cya4pQfXIUt4tOQi5F2k4q%2BBqffiFCKOAXjF2ElnUhgitN%2Bs0wYwj8EaRsW4hXozGs1Bnq4JJtPntoSLMa1ZxDIJYGZdGpS%2BCkJh4WiK0OZmHBLFpQW9J8neOCy3ZG6vZM1OpSMKWe5jWyBQbcHv0NfKtiDHIKZLhvoHThIxLCWgv8lvCcloXEtaR7XosotPQQ%3D%3D
7,"1+1
무료배송천혜향 1kg+1kg (두개 구매시 500g 추가증정)","12,900원","할인율
69%",https://adcr.shopping.naver.com/adclk.nhn?x=bshM%2BQPQgcbmCmbZ9jcVmf%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxX%2F38UQVCT4dP8NnFC0WCzvt6yxuE90alRtFYpp%2BuYPqzM2CmU%2FJAmh2ByzkbR3Ae4XpYeG8am3dcLdd%2F2qMblctNG2%2BQUbS8APgN8iV3xJp0DZX40V%2BuJ%2FWk8GA08jSUd6oMkQHRczsJPP7Rz9mTKnugSvsMkeo1KW8Ww45nmnHnZQDFnFKhud0eF6F%2Fw75l5i7YtFWCcE6rmjkK7P3p%2BKMHnypgMYOj%2BppYy8krfLQ1Dlx9iJXp9c2YGEd%2F9N8cya4pQfXIUt4tOQi5F2k4q%2BBqffiFCKOAXjF2ElnUhgitN%2Bs0wYwj8EaRsW4hXozGs1Bnq4JJtPntoSLMa1ZxDIxrXpBLL%2BtF5CZzXD4dK8f0XttlUPOo6RLSTm6jvFyjAO%2BJsdql%2FytqjoTGIS7hhTLWfRmCBwEhWNLSAx64l5yih7oPGP60HlnWNdeU3XWlg%3D%3D
8,"1+1
무료배송던킨 에너지바 2종 12개+12개 (프로틴바 30g 외)","13,900원","할인율
50%",https://adcr.shopping.naver.com/adclk.nhn?x=KzNy0azF6k0s1oIOcx9Tyv%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxX%2F38UQVCT4dP8NnFC0WCzvt6yxuE90alRtFYpp%2BuYPqzM2CmU%2FJAmh2ByzkbR3Ae4XpYeG8am3dcLdd%2F2qMblctNG2%2BQUbS8APgN8iV3xJp0DZX40V%2BuJ%2FWk8GA08jSUd6oMkQHRczsJPP7Rz9mTKk1G8X3JgLchyjt7xnkWdf7DJAXf%2BcLV3qz4CF2Y6%2Bfh6tkVERkdGnKobQQX1FeKyCMHnypgMYOj%2BppYy8krfLQ1Dlx9iJXp9c2YGEd%2F9N8cya4pQfXIUt4tOQi5F2k4q%2BBqffiFCKOAXjF2ElnUhgitN%2Bs0wYwj8EaRsW4hXozGsnmxJyYHJpwZ07ykBgQd7QQFX2g%2FI2JwdLPaixm5hEt0h8hqTW6Z2e2wzqubxJATD3p%2BagmIPG6cd6mnmNCyWeWQzewLWQPJU%2F9D57aczAUCtK%2F2CEIbnsZ4YRG5MMs5A%3D%3D
9,"1+1
무료배송깨끗한나라 3겹 롤화장지 BEST 모음전 1팩+1팩(총 2팩)","29,900원","할인율
36%",https://adcr.shopping.naver.com/adclk.nhn?x=yT%2B2LSo0er3m8E2uYnhKxv%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxX%2F38UQVCT4dP8NnFC0WCzvt6yxuE90alRtFYpp%2BuYPqzM2CmU%2FJAmh2ByzkbR3Ae4XpYeG8am3dcLdd%2F2qMblctNG2%2BQUbS8APgN8iV3xJp0DZX40V%2BuJ%2FWk8GA08jSUd6oMkQHRczsJPP7Rz9mTKlycQhcc7IDUkFYbtOm%2FzIYFl7Hw4RTCRaOTXV96MtbfZLy7JGZ4lz1gw8anQCCiEeMHnypgMYOj%2BppYy8krfLQ1Dlx9iJXp9c2YGEd%2F9N8cya4pQfXIUt4tOQi5F2k4q%2BBqffiFCKOAXjF2ElnUhgitN%2Bs0wYwj8EaRsW4hXozGs1Bnq4JJtPntoSLMa1ZxDIJYGZdGpS%2BCkJh4WiK0OZmUVQts22E%2FeDLNgLUAZhjrOI8MllDZUBqnU0Ryrq7Og6fWVM1TY6mpjECzfjSaDbbDEJoyHcFhO7xNv5mpUt49A%3D%3D
